iter	RMSE
0	1.710617199
1	1.70823678
2	1.705967028
3	1.704219728
4	1.701875348
5	1.699766804
6	1.697988244
7	1.696267015
8	1.694676315
9	1.693377958
10	1.692102848
11	1.690769964
12	1.689553248
13	1.688516452
14	1.687090898
15	1.686515764
16	1.685412312
17	1.684589335
18	1.68362439
19	1.682584653
20	1.681636496
21	1.680850101
22	1.679898649
23	1.679030423
24	1.678506091
25	1.677722776
26	1.676737025
27	1.676109429
28	1.67567864
29	1.675091106
30	1.674454618
31	1.673488305
32	1.673160404
33	1.672486852
34	1.671699473
35	1.671328938
36	1.670871275
37	1.670160469
38	1.669842748
39	1.669619425
40	1.669046108
41	1.668549806
42	1.66813077
43	1.667844876
44	1.667459636
45	1.667272235
46	1.666851522
47	1.666669028
48	1.665949533
49	1.665438273
50	1.664715988
51	1.66427495
52	1.66390171
53	1.663643608
54	1.663376054
55	1.663082451
56	1.662571047
57	1.662068763
58	1.661778548
59	1.661427485
60	1.661169929
61	1.660751714
62	1.660539691
63	1.660359643
64	1.66008222
65	1.659696701
66	1.659422824
67	1.659242596
68	1.658996053
69	1.658839261
70	1.658700069
71	1.658591072
72	1.658322205
73	1.658065211
74	1.65755566
75	1.657436007
76	1.657312812
77	1.657013155
78	1.656860901
79	1.65658231
80	1.65629823
81	1.656177172
82	1.655934308
83	1.6553099
84	1.655011252
85	1.654856064
86	1.654518339
87	1.654250503
88	1.653694625
89	1.653348868
90	1.652949188
91	1.65282374
92	1.652615091
93	1.652338039
94	1.652013098
95	1.651829872
96	1.651625042
97	1.651347008
98	1.651174927
99	1.651107041
4

5195
