iter	Passed	Remaining
0	11	1152
1	18	917
2	20	659
3	36	866
4	45	863
5	51	806
6	63	848
7	65	756
8	69	704
9	76	690
10	93	756
11	98	718
12	111	744
13	115	710
14	117	666
15	121	639
16	125	612
17	133	606
18	143	610
19	145	580
20	151	570
21	153	543
22	163	547
23	165	523
24	173	520
25	177	504
26	180	489
27	184	475
28	186	457
29	188	439
30	190	423
31	194	414
32	201	408
33	202	393
34	205	381
35	209	372
36	216	367
37	223	364
38	225	353
39	230	345
40	232	334
41	234	323
42	236	313
43	239	304
44	243	297
45	247	290
46	249	280
47	250	271
48	253	264
49	256	256
50	259	249
51	262	241
52	263	233
53	265	226
54	267	218
55	268	211
56	270	204
57	272	197
58	274	190
59	275	183
60	277	177
61	279	171
62	281	165
63	282	159
64	284	153
65	286	147
66	287	141
67	289	136
68	291	130
69	292	125
70	294	120
71	295	115
72	297	109
73	298	104
74	299	99
75	301	95
76	302	90
77	303	85
78	305	81
79	306	76
80	308	72
81	309	67
82	311	63
83	313	59
84	314	55
85	315	51
86	317	47
87	318	43
88	319	39
89	321	35
90	322	31
91	323	28
92	325	24
93	326	20
94	327	17
95	328	13
96	330	10
97	331	6
98	332	3
99	333	0
8	406	4
99	408	0
